date,generation_mw,lcl_mw,ucl_mw,capacity_mwp,installedcapacity_mwp
2022-11-03,33553.9269741,33037.8677696,34069.9670786,14049.48,14881.69
2022-11-04,66200.78139999999,65563.0704,66838.4815,14052.707,14885.243
2022-11-05,10042.00069,9928.58297,10155.416510000001,14052.811,14885.673
2022-11-06,16618.5924928,16291.5206097,16945.6884759,14052.656,14885.844
2022-11-07,12213.368422,12081.222278,12345.487665999999,14055.095,14888.609
2022-11-08,32719.508179,32305.559442,33133.486816,14058.617,14892.457
2022-11-09,47976.755448,47462.785468,48490.715427999996,14061.512,14895.678
2022-11-10,13849.36096882,13647.33886722,14051.370169400001,14064.473,14898.965
2022-11-11,18671.272209031,18380.2755909938,18962.301937069,14067.421,14902.239
2022-11-12,37308.530140677,36818.568087162,37798.50508419,14067.622,14902.767
2022-11-13,33184.9607289423,32656.659896500598,33713.252561384,14067.461,14902.932
2022-11-14,14689.7359771703,14375.98052225981,15003.4835321809,14070.416,14906.213
2022-11-15,10875.927163603552,10624.290442,11127.569084391891,14073.377,14909.502
2022-11-16,26806.422267280002,26395.873093668,27216.9744409,14076.054,14912.505
2022-11-17,19573.1351411,19136.1379638,20010.1633185,14078.932,14915.709
2022-11-18,31081.54062961,30577.74524388,31585.31601533,14081.993,14919.097
2022-11-19,24972.74805958,24478.80615631,25466.69794286,14082.051,14919.482
2022-11-20,36204.14493096,35736.26003241,36672.0527295,14081.974,14919.731
2022-11-21,6829.528602581,6634.4927087962,7024.565506366,14085.845,14923.929
2022-11-22,27288.74598,26791.13033,27786.36263,14088.8,14927.211
2022-11-23,31558.79157,31081.54131,32036.06194,14091.679,14930.417
2022-11-24,16788.01727,16519.76528,17056.26017,14094.747,14933.812
2022-11-25,47545.57646,47045.80626,48045.32556,14097.586,14936.978
2022-11-26,15603.52676,15383.49008,15823.56245,14097.696,14937.415
2022-11-27,11354.550263967,11200.577731742,11508.52379619,14097.53,14937.576
2022-11-28,30158.166294810002,29721.18630903,30595.14728058,14100.35,14940.723
2022-11-29,10146.517085989999,9890.902851,10402.12323098,14102.879,14943.58
2022-11-30,14006.266396271001,13745.563106231,14266.96168631,14106.456,14947.485
2022-12-01,14316.3653,13555.1757,15077.5758,14110.097,14951.453
2022-12-02,15340.6771,14483.5259,16197.8083,14114.149,14955.832
2022-12-03,14164.4434,13501.987000000001,14826.9237,14114.298,14956.309
2022-12-04,4290.41467,4049.88377,4530.9455800000005,14114.363,14956.701
2022-12-05,9604.76536,9262.77025,9946.74718,14117.076,14959.742
2022-12-06,25727.83,24739.4606,26716.1995,14120.241,14963.234
2022-12-07,30341.903,29274.5798,31409.1723,14123.466,14966.787
2022-12-08,36739.6962,35523.1946,37956.1569,14126.438,14970.088
2022-12-09,31777.610399999998,30625.17,32930.0509,14128.94,14972.917
2022-12-10,28770.3889,27574.3381,29966.428799999998,14129.019,14973.324
2022-12-11,14435.83513,13645.52546,15226.160890000001,14128.995,14973.628
2022-12-12,10159.35517,9394.784745,10923.95349,14130.839,14975.8
2022-12-13,11027.95409,10557.09952,11498.80086,14132.806,14978.094
2022-12-14,24119.68683,23131.91521,25107.48054,14135.004,14980.621
2022-12-15,37286.07179,36022.32925,38549.809330000004,14136.97,14982.915
2022-12-16,33210.0003,32069.10817,34350.92042,14138.881,14985.154
2022-12-17,17777.80169,17058.48708,18497.1284,14138.997,14985.598
